h,beta,se,n,lower,upper
1,0.07160614431433487,0.014742487248914157,25,0.04271086930646313,0.10050141932220662
2,0.05406216802503969,0.015494867408590603,24,0.023692227904202112,0.08443210814587727
3,0.07677272943173886,0.016833470009618847,23,0.043779128212885925,0.1097663306505918
4,0.016594423509619385,0.014578539386695046,22,-0.011979513688302905,0.045168360707541676
5,0.0375734720235734,0.012966974099861429,21,0.012158202787844997,0.06298874125930179
6,0.03779984713657517,0.009491601004004407,20,0.019196309168726534,0.05640338510442381
7,-0.005194620586600478,0.005854313542742255,19,-0.016669075130375296,0.006279833957174341
8,-0.01872809568584491,0.008125438067745619,18,-0.03465395429862632,-0.0028022370730634953
