Shock_%,Horizon_q,CPI_Impact_pp,Lower_pp,Upper_pp
10,1,0.7160614431433487,0.4271086930646313,1.0050141932220662
10,2,0.5406216802503969,0.23692227904202112,0.8443210814587727
10,3,0.7677272943173886,0.43779128212885926,1.097663306505918
10,4,0.16594423509619385,-0.11979513688302905,0.45168360707541677
10,5,0.37573472023573395,0.12158202787844997,0.6298874125930178
10,6,0.3779984713657517,0.19196309168726533,0.5640338510442381
10,7,-0.05194620586600478,-0.16669075130375297,0.06279833957174341
10,8,-0.1872809568584491,-0.3465395429862632,-0.028022370730634953
20,1,1.4321228862866975,0.8542173861292626,2.0100283864441324
20,2,1.0812433605007938,0.47384455808404224,1.6886421629175454
20,3,1.5354545886347772,0.8755825642577185,2.195326613011836
20,4,0.3318884701923877,-0.2395902737660581,0.9033672141508335
20,5,0.7514694404714679,0.24316405575689995,1.2597748251860357
20,6,0.7559969427315034,0.38392618337453066,1.1280677020884762
20,7,-0.10389241173200955,-0.33338150260750593,0.12559667914348682
20,8,-0.3745619137168982,-0.6930790859725264,-0.056044741461269906
30,1,2.1481843294300464,1.2813260791938939,3.0150425796661984
30,2,1.6218650407511908,0.7107668371260634,2.5329632443763184
30,3,2.303181882952166,1.3133738463865778,3.292989919517754
30,4,0.4978327052885816,-0.35938541064908713,1.3550508212262502
30,5,1.1272041607072019,0.36474608363534994,1.8896622377790537
30,6,1.1339954140972552,0.575889275061796,1.6921015531327144
30,7,-0.15583861759801435,-0.5000722539112589,0.18839501871523023
30,8,-0.5618428705753473,-1.0396186289587896,-0.08406711219190485
